ID,#knockouts (pFBA),R_biomass_SC5_notrace (pFBA),R_EX_fum_e_ (pFBA),R_EX_glc_e_ (pFBA),BPCY (pFBA),CYIELD (pFBA),FVA~min~R_EX_fum_e_ (pFBA),FVA~max~R_EX_fum_e_ (pFBA),SOLUTION
sol_48#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07581209563092398,0.5310035465974888,-1.15,0.0350056449173988,0.307828142955066,0.5308476209242643,0.531039158094965,YKL029C YBR196C YLR438W YER081W YIL074C YPL262W YIL125W 
sol_49#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07583836075835916,0.5307837903000252,-1.15,0.03500328049866311,0.3077007480000146,0.5306999931796259,0.530891038707948,YKL029C YBR196C YER081W YIL074C YPL262W YIL125W 
sol_50#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.06471465804878834,0.766797760967797,-1.15,0.043150482516180456,0.4445204411407519,0.7666258726840111,0.7668146112885658,YKL029C YBR196C YKL106W YER081W YIL074C YNL241C YPL262W 
sol_51#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07583835683966451,0.5307834397533955,-1.15,0.03500325557269789,0.3077005447845771,0.5306995807796685,0.5308911395636781,YKL029C YBR196C YOR142W YER081W YIL074C YLR142W YPL262W 
sol_52#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07563455679684368,0.5339216151665529,-1.15,0.0351155867194584,0.30951977690814664,0.5337658258596999,0.5339571696971718,YKL029C YBR196C YLR438W YOR142W YLR303W YER081W YIL074C YPL262W 
sol_53#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07411738694481514,0.5464653840377394,-1.15,0.03521964027884534,0.31679152697839963,0.5463813718697543,0.5465729760207536,YBR196C YLR058C YLR303W YER081W YIL074C YPL262W 
sol_54#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.07566069397229679,0.5337028909562658,-1.15,0.03511333139545401,0.3093929802645019,0.5336190104676877,0.5338105397880919,YBR196C YLR303W YER081W YIL074C YPL262W 
sol_55#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.07581209343825815,0.5310035589568813,-1.15,0.03500564471972758,0.30782815011993125,0.5308474041894073,0.5310392205696932,YBR196C YLR438W YER081W YIL074C YPL262W 
sol_56#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.06482394754121418,0.7661506127101538,-1.15,0.04318687576260184,0.444145282730524,0.7659789460500204,0.7661674521121964,YBR196C YER081W YIL074C YNL241C YPL262W 
sol_57#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],4.0,0.07583835666792776,0.5307834243907215,-1.15,0.035003254480319664,0.3077005358786791,0.5306995602361351,0.5308911450304011,YBR196C YER081W YIL074C YPL262W 
